Time                           Lat
2022-01-12/12:42:00         -58.12
2022-01-12/12:43:00         -58.09
2022-01-12/12:44:00         -58.07
2022-01-12/12:45:00         -58.04
2022-01-12/12:46:00         -58.01
2022-01-12/12:47:00         -57.99
2022-01-12/12:48:00         -57.96
2022-01-12/12:49:00         -57.94
2022-01-12/12:50:00         -57.91
2022-01-12/12:51:00         -57.89
2022-01-12/12:52:00         -57.87
2022-01-12/12:53:00         -57.84
2022-01-12/12:54:00         -57.82
2022-01-12/12:55:00         -57.80
2022-01-12/12:56:00         -57.78
2022-01-12/12:57:00         -57.77
